date,product_id,product_name,demand,promotion_active,day_of_week,month,year,economic_trend_factor
2022-01-01,1001,Organic Bananas,161.09,False,5,1,2022,0.95
2022-01-02,1001,Organic Bananas,138.62,False,6,1,2022,0.95
2022-01-03,1001,Organic Bananas,103.89,False,0,1,2022,0.95
2022-01-04,1001,Organic Bananas,106.12,False,1,1,2022,0.95
2022-01-05,1001,Organic Bananas,113.23,False,2,1,2022,0.95
2022-01-06,1001,Organic Bananas,127.58,False,3,1,2022,0.95
2022-01-07,1001,Organic Bananas,119.64,False,4,1,2022,0.951
2022-01-08,1001,Organic Bananas,174.53,False,5,1,2022,0.951
2022-01-09,1001,Organic Bananas,132.67,False,6,1,2022,0.951
2022-01-10,1001,Organic Bananas,99.87,False,0,1,2022,0.951
2022-01-11,1001,Organic Bananas,114.14,False,1,1,2022,0.951
2022-01-12,1001,Organic Bananas,122.42,False,2,1,2022,0.951
2022-01-13,1001,Organic Bananas,123.55,False,3,1,2022,0.951
2022-01-14,1001,Organic Bananas,130.55,False,4,1,2022,0.951
2022-01-15,1001,Organic Bananas,166.02,False,5,1,2022,0.951
2022-01-16,1001,Organic Bananas,194.07,True,6,1,2022,0.951
2022-01-17,1001,Organic Bananas,118.24,False,0,1,2022,0.951
2022-01-18,1001,Organic Bananas,120.47,False,1,1,2022,0.952
2022-01-19,1001,Organic Bananas,127.44,False,2,1,2022,0.952
2022-01-20,1001,Organic Bananas,157.63,True,3,1,2022,0.952
2022-01-21,1001,Organic Bananas,173.53,True,4,1,2022,0.952
2022-01-22,1001,Organic Bananas,180.62,False,5,1,2022,0.952
2022-01-23,1001,Organic Bananas,146.01,False,6,1,2022,0.952
2022-01-24,1001,Organic Bananas,112.34,False,0,1,2022,0.952
2022-01-25,1001,Organic Bananas,111.94,False,1,1,2022,0.952
2022-01-26,1001,Organic Bananas,140.61,False,2,1,2022,0.952
2022-01-27,1001,Organic Bananas,95.38,False,3,1,2022,0.952
2022-01-28,1001,Organic Bananas,177.93,False,4,1,2022,0.952
2022-01-29,1001,Organic Bananas,162.71,False,5,1,2022,0.953
2022-01-30,1001,Organic Bananas,206.19,True,6,1,2022,0.953
2022-01-31,1001,Organic Bananas,118.04,False,0,1,2022,0.953
2022-02-01,1001,Organic Bananas,111.96,False,1,2,2022,0.953
2022-02-02,1001,Organic Bananas,142.48,False,2,2,2022,0.953
2022-02-03,1001,Organic Bananas,120.34,False,3,2,2022,0.953
2022-02-04,1001,Organic Bananas,148.66,False,4,2,2022,0.953
2022-02-05,1001,Organic Bananas,170.23,False,5,2,2022,0.953
2022-02-06,1001,Organic Bananas,199.9,True,6,2,2022,0.953
2022-02-07,1001,Organic Bananas,87.05,False,0,2,2022,0.953
2022-02-08,1001,Organic Bananas,125.15,False,1,2,2022,0.953
2022-02-09,1001,Organic Bananas,146.03,False,2,2,2022,0.954
2022-02-10,1001,Organic Bananas,126.52,False,3,2,2022,0.954
2022-02-11,1001,Organic Bananas,137.7,False,4,2,2022,0.954
2022-02-12,1001,Organic Bananas,163.68,False,5,2,2022,0.954
2022-02-13,1001,Organic Bananas,174.71,False,6,2,2022,0.954
2022-02-14,1001,Organic Bananas,109.16,False,0,2,2022,0.954
2022-02-15,1001,Organic Bananas,139.37,False,1,2,2022,0.954
2022-02-16,1001,Organic Bananas,129.31,False,2,2,2022,0.954
2022-02-17,1001,Organic Bananas,126.77,False,3,2,2022,0.954
2022-02-18,1001,Organic Bananas,141.63,False,4,2,2022,0.954
2022-02-19,1001,Organic Bananas,217.19,False,5,2,2022,0.954
2022-02-20,1001,Organic Bananas,161.07,False,6,2,2022,0.955
2022-02-21,1001,Organic Bananas,124.93,False,0,2,2022,0.955
2022-02-22,1001,Organic Bananas,130.58,False,1,2,2022,0.955
2022-02-23,1001,Organic Bananas,136.81,False,2,2,2022,0.955
2022-02-24,1001,Organic Bananas,173.8,True,3,2,2022,0.955
2022-02-25,1001,Organic Bananas,178.05,True,4,2,2022,0.955
2022-02-26,1001,Organic Bananas,173.2,False,5,2,2022,0.955
2022-02-27,1001,Organic Bananas,166.26,False,6,2,2022,0.955
2022-02-28,1001,Organic Bananas,121.22,False,0,2,2022,0.955
2022-03-01,1001,Organic Bananas,103.53,False,1,3,2022,0.955
2022-03-02,1001,Organic Bananas,127.76,False,2,3,2022,0.955
2022-03-03,1001,Organic Bananas,136.02,False,3,3,2022,0.956
2022-03-04,1001,Organic Bananas,139.48,False,4,3,2022,0.956
2022-03-05,1001,Organic Bananas,186.03,False,5,3,2022,0.956
2022-03-06,1001,Organic Bananas,165.78,False,6,3,2022,0.956
2022-03-07,1001,Organic Bananas,125.67,False,0,3,2022,0.956
2022-03-08,1001,Organic Bananas,120.4,False,1,3,2022,0.956
2022-03-09,1001,Organic Bananas,162.39,False,2,3,2022,0.956
2022-03-10,1001,Organic Bananas,149.11,False,3,3,2022,0.956
2022-03-11,1001,Organic Bananas,214.98,True,4,3,2022,0.956
2022-03-12,1001,Organic Bananas,168.5,False,5,3,2022,0.956
2022-03-13,1001,Organic Bananas,161.75,False,6,3,2022,0.956
2022-03-14,1001,Organic Bananas,113.37,False,0,3,2022,0.957
2022-03-15,1001,Organic Bananas,163.92,True,1,3,2022,0.957
